#Time(Yr)                X_Me                Y_Me                Z_Me           R_Mercury                X_Ve                Y_Ve                Z_Ve             R_Venus                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ma                Y_Ma                Z_Ma              R_Mars                X_Ju                Y_Ju                Z_Ju           R_Jupiter                X_Sa                Y_Sa                Z_Sa            R_Saturn                X_Ur                Y_Ur                Z_Ur            R_Uranus                X_Ne                Y_Ne                Z_Ne           R_Neptune                X_Pu                Y_Pu                Z_Pu             R_Pluto
2.45000          -0.0720207            0.475667           0.0455845            0.483243           -0.527693           -0.504108           0.0235742            0.730165            0.625229           -0.872136        -6.13425E-05             1.07310            -1.49877            0.710034           0.0516765             1.65926            -2.74514             4.46480           0.0428766             5.24138             1.27355             8.93863           -0.205906             9.03125             16.7869            -10.8864           -0.257971             20.0095             19.2520            -23.1269           0.0326140             30.0915            -6.84659            -29.3248             5.12197             30.5459
2.50000           -0.437484            0.225842           0.0586080            0.495815           -0.201747           -0.695441          0.00207339            0.724116            0.841492           -0.667884        -0.000116161             1.07433            -1.58092            0.493094           0.0491320             1.65676            -2.86324             4.39699           0.0457998             5.24726             1.16719             8.95201           -0.201900             9.03004             16.8253            -10.8294           -0.258258             20.0109             19.2956            -23.0899           0.0308470             30.0910            -6.78945            -29.3473             5.10792             30.5525
2.55000           -0.448705           -0.206851           0.0241748            0.494679            0.176640           -0.705997          -0.0199663            0.728033            0.990774           -0.410468        -0.000161730             1.07244            -1.62875            0.265458           0.0455212             1.65087            -2.97939             4.32618           0.0486916             5.25309             1.06067             8.96418           -0.197867             9.02888             16.8635            -10.7723           -0.258541             20.0122             19.3392            -23.0528           0.0290798             30.0904            -6.73228            -29.3697             5.09385             30.5590
2.60000          -0.0940879           -0.470891          -0.0299687            0.481133            0.509848           -0.535980          -0.0368993            0.740662             1.06077           -0.120206        -0.000194386             1.06756            -1.64085           0.0320038           0.0409118             1.64167            -3.09350             4.25243           0.0515503             5.25886            0.954009             8.97515           -0.193807             9.02779             16.9015            -10.7151           -0.258821             20.0136             19.3826            -23.0156           0.0273126             30.0899            -6.67508            -29.3921             5.07977             30.5656
2.65000            0.343904           -0.317652          -0.0575555            0.471684            0.719209           -0.235766          -0.0448691            0.758195             1.04472            0.179809        -0.000211386             1.06008            -1.61636           -0.202159           0.0353899             1.62933            -3.20552             4.17579           0.0543740             5.26455            0.847216             8.98491           -0.189721             9.02676             16.9393            -10.6577           -0.259098             20.0149             19.4260            -22.9783           0.0255452             30.0894            -6.61787            -29.4143             5.06567             30.5722
2.70000            0.458463            0.134333          -0.0310126            0.478744            0.765711            0.117838          -0.0426784            0.775900            0.942115            0.464929        -0.000211107             1.05059            -1.55498           -0.431706           0.0290603             1.61406            -3.31537             4.09633           0.0571609             5.27018            0.740308             8.99347           -0.185610             9.02580             16.9769            -10.6002           -0.259372             20.0162             19.4694            -22.9409           0.0237778             30.0889            -6.56063            -29.4364             5.05155             30.5788
2.75000            0.160646            0.465490           0.0234255            0.492988            0.650425            0.446548          -0.0314697            0.789587            0.759316            0.710479        -0.000193074             1.03988            -1.45711           -0.651115           0.0220488             1.59612            -3.42298             4.01410           0.0599092             5.27573            0.633300             9.00082           -0.181474             9.02489             17.0143            -10.5426           -0.259642             20.0175             19.5126            -22.9035           0.0220103             30.0884            -6.50337            -29.4584             5.03742             30.5854
2.80000           -0.269504            0.413207           0.0585669            0.496792            0.404733            0.685732          -0.0139512            0.796386            0.509867            0.893670        -0.000158261             1.02889            -1.32387           -0.854716           0.0145020             1.57587            -3.52829             3.92918           0.0626172             5.28121            0.526205             9.00695           -0.177313             9.02405             17.0515            -10.4849           -0.259910             20.0188             19.5558            -22.8660           0.0202427             30.0879            -6.44608            -29.4803             5.02326             30.5921
2.85000           -0.482716           0.0283122           0.0465642            0.485782           0.0799548            0.790928          0.00629375            0.794984            0.214212            0.995882        -0.000109193             1.01866            -1.15724            -1.03676          0.00658959             1.55375            -3.63123             3.84162           0.0652832             5.28660            0.419038             9.01188           -0.173129             9.02328             17.0884            -10.4270           -0.260174             20.0201             19.5989            -22.8284           0.0184750             30.0874            -6.38877            -29.5021             5.00909             30.5987
2.90000           -0.280337           -0.380955         -0.00552778            0.473018           -0.260530            0.740761           0.0253023            0.785648           -0.101449             1.00511        -4.98118E-05             1.01022           -0.960169            -1.19152         -0.00149621             1.53024            -3.73175             3.75150           0.0679056             5.29191            0.311813             9.01559           -0.168921             9.02256             17.1252            -10.3690           -0.260435             20.0214             19.6420            -22.7907           0.0167073             30.0869            -6.33145            -29.5238             4.99491             30.6054
2.95000            0.183464           -0.434963          -0.0524649            0.474979           -0.547993            0.539836           0.0391611            0.770230           -0.407402            0.918116         1.45166E-05             1.00445           -0.736651            -1.31346         -0.00954077             1.50596            -3.82978             3.65889           0.0704828             5.29714            0.204545             9.01809           -0.164690             9.02192             17.1617            -10.3108           -0.260693             20.0226             19.6849            -22.7529           0.0149395             30.0864            -6.27410            -29.5454             4.98070             30.6122
3.00000            0.478286          -0.0883517          -0.0510797            0.489053           -0.717097            0.222316           0.0445613            0.752089           -0.673683            0.741709         7.75827E-05             1.00199           -0.491847            -1.39744          -0.0173096             1.48157            -3.92527             3.56384           0.0730131             5.30227           0.0972484             9.01938           -0.160437             9.02133             17.1980            -10.2526           -0.260947             20.0239             19.7278            -22.7150           0.0131716             30.0859            -6.21672            -29.5670             4.96648             30.6189
3.05000            0.369535            0.332812         -0.00659425            0.497357           -0.719834           -0.146778           0.0396231            0.735714           -0.873872            0.492537         0.000133158             1.00312           -0.232117            -1.43901          -0.0245531             1.45781            -4.01817             3.46643           0.0754951             5.30731          -0.0100625             9.01945           -0.156163             9.02081             17.2341            -10.1942           -0.261199             20.0251             19.7707            -22.6771           0.0114037             30.0854            -6.15933            -29.5884             4.95224             30.6257
