#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
1.86627            0.241427            0.632932           0.0756858            0.241427            0.632931           0.0756858
1.87625            0.235070            0.639699           0.0666738            0.235070            0.639699           0.0666738
1.88623            0.228822            0.646056           0.0581401            0.228822            0.646056           0.0581401
1.89621            0.222683            0.652000           0.0501104            0.222682            0.652000           0.0501104
1.90619            0.216653            0.657527           0.0426090            0.216653            0.657526           0.0426090
1.91617            0.210733            0.662634           0.0356583            0.210733            0.662634           0.0356583
1.92615            0.204923            0.667320           0.0292789            0.204923            0.667320           0.0292789
1.93613            0.199223            0.671584           0.0234896            0.199223            0.671584           0.0234896
1.94611            0.193633            0.675426           0.0183075            0.193633            0.675426           0.0183075
1.95609            0.188152            0.678845           0.0137475            0.188152            0.678845           0.0137475
1.96607            0.182780            0.681842          0.00982288            0.182780            0.681842          0.00982288
1.97605            0.177517            0.684419          0.00654495            0.177517            0.684419          0.00654494
1.98603            0.172362            0.686579          0.00392303            0.172362            0.686579          0.00392302
1.99601            0.167316            0.688323          0.00196455            0.167316            0.688323          0.00196455
2.00599            0.162376            0.689656         0.000675037            0.162376            0.689656         0.000675038
2.01597            0.157544            0.690581         5.80896E-05            0.157544            0.690581         5.80896E-05
2.02595            0.152817            0.691102         0.000115422            0.152817            0.691102         0.000115421
2.03593            0.148195            0.691225         0.000846877            0.148195            0.691225         0.000846876
2.04591            0.143678            0.690955          0.00225046            0.143678            0.690955          0.00225046
2.05589            0.139264            0.690297          0.00432236            0.139264            0.690297          0.00432235
2.06587            0.134952            0.689259          0.00705700            0.134952            0.689259          0.00705700
2.07585            0.130741            0.687847           0.0104471            0.130741            0.687847           0.0104471
2.08583            0.126631            0.686068           0.0144836            0.126631            0.686068           0.0144836
2.09581            0.122620            0.683930           0.0191559            0.122620            0.683930           0.0191559
2.10579            0.118707            0.681440           0.0244519            0.118707            0.681440           0.0244519
2.11577            0.114891            0.678608           0.0303578            0.114891            0.678608           0.0303578
2.12575            0.111171            0.675441           0.0368584            0.111171            0.675441           0.0368584
2.13573            0.107544            0.671948           0.0439372            0.107544            0.671948           0.0439372
2.14571            0.104011            0.668139           0.0515764            0.104011            0.668139           0.0515764
2.15569            0.100570            0.664023           0.0597568            0.100570            0.664023           0.0597568
2.16567           0.0972185            0.659609           0.0684580           0.0972185            0.659609           0.0684580
2.17565           0.0939562            0.654908           0.0776588           0.0939563            0.654908           0.0776588
2.18563           0.0907816            0.649929           0.0873367           0.0907816            0.649929           0.0873367
2.19561           0.0876930            0.644682           0.0974684           0.0876931            0.644682           0.0974684
2.20559           0.0846892            0.639178            0.108030           0.0846892            0.639178            0.108030
2.21557           0.0817686            0.633427            0.118995           0.0817687            0.633427            0.118995
2.22555           0.0789299            0.627439            0.130340           0.0789298            0.627439            0.130340
2.23553           0.0761714            0.621225            0.142037           0.0761714            0.621225            0.142037
2.24551           0.0734918            0.614795            0.154059           0.0734917            0.614795            0.154059
2.25549           0.0708895            0.608160            0.166380           0.0708895            0.608160            0.166380
2.26547           0.0683630            0.601331            0.178972           0.0683630            0.601331            0.178972
2.27545           0.0659109            0.594318            0.191806           0.0659109            0.594318            0.191806
2.28543           0.0635317            0.587132            0.204855           0.0635317            0.587132            0.204855
2.29541           0.0612238            0.579783            0.218089           0.0612238            0.579783            0.218089
2.30539           0.0589858            0.572281            0.231482           0.0589858            0.572281            0.231482
2.31537           0.0568161            0.564638            0.245003           0.0568161            0.564638            0.245003
2.32535           0.0547133            0.556863            0.258626           0.0547133            0.556863            0.258626
2.33533           0.0526759            0.548966            0.272321           0.0526759            0.548966            0.272321
2.34531           0.0507024            0.540958            0.286062           0.0507024            0.540958            0.286062
2.35529           0.0487914            0.532849            0.299819           0.0487914            0.532849            0.299819
2.36527           0.0469413            0.524647            0.313567           0.0469413            0.524647            0.313567
2.37525           0.0451508            0.516364            0.327277           0.0451508            0.516364            0.327277
